,media
0,0.093503911999999995
1,0.097475331999999998
2,0.092052800000000004
3,0.089945346999999995
4,0.089572235
5,0.090186533999999999
6,0.091042937000000004
7,0.091415291999999995
8,0.091575113
9,0.090675642000000001
10,0.090299242000000002
11,0.089478828999999996
12,0.088944896999999995
13,0.088078194999999998
14,0.088034770999999998
15,0.087619053000000002
16,0.086870103000000004
17,0.085933996999999998
18,0.085322455000000005
19,0.084726421999999996
20,0.084494284000000003
21,0.084350287999999995
22,0.08430725
23,0.084221345000000003
24,0.084792494999999996
